tenure_months,monthly_charges,total_charges,support_tickets,late_payments,contract_type,internet_service,paperless_billing,churn
68,100.71,6982.99,2,0,Month-to-month,Fiber,Yes,0
54,54.01,2981.92,3,0,One year,Fiber,Yes,0
58,86.01,4987.59,1,1,Month-to-month,Fiber,No,1
32,56.54,1796.28,2,2,Month-to-month,DSL,No,1
34,76.2,2378.82,0,0,Month-to-month,DSL,Yes,0
46,66.47,3025.48,1,1,Two year,Fiber,Yes,0
57,91.83,5257.33,4,2,Month-to-month,DSL,No,1
61,56.63,3477.58,3,1,One year,DSL,No,0
2,30.69,307.96,1,1,One year,DSL,Yes,0
48,35.45,1729.76,2,1,Month-to-month,None,Yes,0
8,56.7,516.64,1,1,Month-to-month,DSL,No,0
21,38.77,930.74,2,1,One year,DSL,No,1
60,80.26,4869.37,0,1,Month-to-month,None,No,1
19,58.36,1100.16,1,0,Month-to-month,Fiber,Yes,1
58,129.37,7495.06,1,1,Month-to-month,Fiber,Yes,1
34,26.56,867.88,1,0,Two year,Fiber,Yes,0
17,75.09,1320.97,0,1,Month-to-month,DSL,No,1
25,41.8,1028.0,2,0,Month-to-month,Fiber,No,1
39,57.66,2311.43,2,0,Month-to-month,DSL,Yes,1
56,73.54,4017.08,1,2,Month-to-month,None,No,1
44,20.0,894.68,0,0,Two year,DSL,No,0
68,75.92,5317.81,3,1,Month-to-month,Fiber,Yes,1
63,117.57,7384.62,1,2,One year,Fiber,Yes,1
55,58.66,3410.82,1,1,One year,DSL,No,0
44,76.5,3382.16,1,1,Month-to-month,Fiber,Yes,1
21,95.62,2002.43,1,4,One year,Fiber,No,1
30,65.9,1988.7,0,1,Two year,DSL,Yes,0
9,55.48,468.14,2,0,One year,None,No,0
27,20.0,341.94,1,0,One year,DSL,No,0
67,86.02,5851.68,0,0,Month-to-month,Fiber,No,1
31,67.17,2301.57,1,0,Two year,Fiber,No,1
9,44.68,450.19,1,1,Month-to-month,Fiber,Yes,1
47,73.16,3492.88,2,2,One year,Fiber,Yes,1
70,55.41,3860.3,0,1,Month-to-month,Fiber,No,0
63,56.79,3693.51,2,0,One year,Fiber,Yes,0
20,85.16,1699.22,2,0,Two year,Fiber,No,0
33,36.54,1232.56,1,0,One year,Fiber,Yes,1
39,96.18,3594.61,1,0,Month-to-month,Fiber,Yes,0
18,35.06,578.11,1,1,One year,DSL,Yes,0
20,53.43,1105.38,2,0,Two year,DSL,No,0
18,118.07,2216.05,5,1,One year,Fiber,Yes,1
72,98.18,7162.73,1,3,Two year,None,Yes,0
54,72.44,3753.85,1,1,Two year,DSL,Yes,0
61,46.49,2687.91,0,2,Two year,Fiber,No,0
59,56.77,3407.74,1,2,Month-to-month,DSL,Yes,0
70,71.83,4953.55,2,1,Month-to-month,Fiber,Yes,1
8,70.94,656.96,1,1,Two year,Fiber,Yes,0
64,67.73,4171.59,2,0,Two year,Fiber,Yes,0
5,69.23,336.3,0,0,Month-to-month,Fiber,Yes,1
35,64.64,2259.0,1,3,Month-to-month,Fiber,No,1
43,33.95,1507.92,2,0,Month-to-month,DSL,Yes,0
26,57.09,1381.15,1,2,One year,Fiber,No,0
11,92.87,824.85,1,0,Two year,DSL,No,0
14,35.79,518.21,2,0,One year,None,Yes,0
60,65.26,3968.31,2,2,Month-to-month,Fiber,No,1
23,49.51,1239.39,2,3,Month-to-month,DSL,No,0
23,72.78,1638.17,0,1,Two year,DSL,Yes,0
67,60.28,4116.61,0,3,Month-to-month,Fiber,No,0
11,106.93,1224.86,1,0,Month-to-month,None,No,0
66,82.66,5588.1,3,0,Month-to-month,DSL,Yes,1
67,37.2,2487.19,1,1,Two year,Fiber,Yes,0
44,86.78,3645.36,1,4,Month-to-month,DSL,Yes,0
12,50.63,600.84,3,2,Month-to-month,Fiber,Yes,1
12,55.58,675.75,1,0,Month-to-month,Fiber,Yes,1
21,77.85,1686.57,2,2,Two year,DSL,Yes,0
42,57.71,2270.4,2,0,Month-to-month,Fiber,No,1
12,92.32,1076.65,3,2,Month-to-month,DSL,Yes,1
33,50.64,1757.84,2,0,Month-to-month,Fiber,Yes,0
9,54.53,480.33,2,2,Month-to-month,DSL,No,1
39,53.59,2059.46,4,0,Two year,Fiber,Yes,0
2,55.86,302.35,2,1,One year,DSL,Yes,1
52,97.48,4961.95,0,1,Month-to-month,Fiber,Yes,0
4,85.72,466.2,3,1,Two year,DSL,Yes,0
15,112.75,1793.35,1,0,Month-to-month,Fiber,Yes,1
13,126.69,1624.47,1,0,Two year,DSL,Yes,1
60,44.23,2650.64,3,0,Month-to-month,Fiber,No,0
4,71.76,283.4,3,0,Month-to-month,Fiber,Yes,1
31,40.59,1276.64,2,1,Two year,Fiber,No,0
43,50.56,2114.62,2,0,Two year,Fiber,No,1
38,54.25,2018.61,0,1,One year,Fiber,Yes,0
50,43.57,2143.03,1,2,One year,Fiber,Yes,0
58,43.7,2502.43,3,1,Two year,Fiber,No,0
29,66.39,1894.32,0,2,One year,Fiber,Yes,0
60,39.58,2150.84,2,1,Month-to-month,None,Yes,0
23,91.05,2103.99,0,2,Month-to-month,Fiber,Yes,1
71,47.06,3288.24,0,3,One year,Fiber,No,0
37,130.0,4623.32,1,2,One year,Fiber,Yes,1
53,58.72,3076.91,2,2,Two year,Fiber,Yes,0
64,71.8,4557.13,4,1,Month-to-month,Fiber,Yes,0
58,37.62,2309.28,2,2,Month-to-month,DSL,No,0
62,112.65,6930.52,0,0,Month-to-month,DSL,Yes,0
39,97.99,3888.29,1,0,Two year,DSL,No,0
4,77.42,447.97,0,1,Month-to-month,Fiber,Yes,1
36,36.33,1245.07,0,3,Two year,Fiber,Yes,0
14,75.27,1048.98,1,1,Month-to-month,DSL,Yes,0
65,41.96,2900.54,1,1,Month-to-month,Fiber,Yes,1
18,106.56,1940.96,2,1,Two year,Fiber,Yes,0
17,90.23,1571.28,2,0,Month-to-month,None,No,0
18,72.39,1262.22,2,3,Two year,DSL,Yes,0
47,20.0,1008.71,2,1,Month-to-month,DSL,No,0
42,45.41,1903.45,1,3,Month-to-month,DSL,Yes,0
69,87.19,5833.18,0,1,One year,Fiber,Yes,0
30,100.32,2974.14,0,2,Two year,DSL,Yes,0
21,97.73,1934.0,0,0,Month-to-month,DSL,No,0
4,30.2,132.02,0,0,Month-to-month,Fiber,Yes,1
1,77.54,0.0,2,0,One year,Fiber,Yes,0
27,95.39,2623.29,1,0,Two year,DSL,Yes,0
67,28.54,1916.76,1,0,Two year,Fiber,Yes,0
38,69.8,2527.69,1,1,Two year,DSL,Yes,0
65,76.85,4945.74,3,0,Month-to-month,Fiber,No,1
8,62.48,561.9,1,1,One year,Fiber,Yes,0
7,23.7,280.67,4,0,Two year,DSL,No,0
61,61.86,3683.07,2,1,Two year,DSL,Yes,0
8,61.82,384.79,0,0,Two year,Fiber,No,0
4,66.3,460.29,0,1,Two year,Fiber,No,0
30,55.91,1676.42,1,0,Two year,DSL,No,0
67,58.92,3957.1,0,0,Month-to-month,Fiber,No,1
50,69.01,3376.43,0,0,Month-to-month,DSL,No,1
8,81.06,670.01,1,1,Two year,Fiber,Yes,0
61,62.39,3977.26,0,0,Month-to-month,Fiber,Yes,0
61,59.76,3670.72,1,0,Month-to-month,Fiber,Yes,1
58,72.31,4300.41,3,1,Month-to-month,Fiber,Yes,1
65,21.98,1431.41,1,1,One year,Fiber,Yes,0
18,81.93,1372.09,1,1,Two year,DSL,Yes,0
71,69.99,4900.68,0,0,Two year,Fiber,No,0
24,70.99,1592.04,1,1,Month-to-month,DSL,Yes,1
58,94.02,5474.84,0,2,Month-to-month,Fiber,Yes,1
42,21.18,1011.93,1,0,Month-to-month,Fiber,Yes,0
57,20.65,1193.39,0,1,Two year,DSL,No,0
46,76.85,3504.1,0,2,Month-to-month,Fiber,Yes,1
47,69.82,3202.67,0,2,One year,Fiber,Yes,0
45,74.25,3376.99,1,0,One year,Fiber,Yes,1
57,58.45,3207.66,2,1,One year,Fiber,No,1
54,86.61,4563.47,2,0,One year,Fiber,Yes,1
10,93.32,1023.18,0,1,One year,DSL,Yes,1
60,82.1,4898.2,2,1,One year,Fiber,Yes,0
39,63.48,2445.95,1,0,Month-to-month,Fiber,Yes,0
24,20.0,463.09,1,1,Month-to-month,DSL,No,0
38,89.23,3463.36,2,1,Month-to-month,None,Yes,1
70,100.54,7054.58,0,1,Month-to-month,Fiber,No,1
62,86.11,5264.76,2,1,One year,DSL,Yes,0
61,48.01,2857.84,1,0,Month-to-month,DSL,No,1
34,86.84,2933.21,3,0,Two year,None,Yes,0
57,91.51,5246.48,1,0,Month-to-month,Fiber,No,1
28,108.97,3047.62,2,1,One year,DSL,Yes,1
50,48.1,2392.41,2,0,Month-to-month,Fiber,Yes,0
47,64.34,3028.54,3,1,Month-to-month,DSL,Yes,0
18,88.68,1592.65,5,0,Month-to-month,Fiber,No,1
20,71.44,1350.67,2,0,One year,Fiber,No,1
5,42.07,321.04,2,0,Month-to-month,DSL,Yes,0
11,80.37,835.79,2,2,One year,Fiber,Yes,1
32,84.47,2715.85,0,1,One year,None,Yes,0
35,72.2,2320.93,2,1,Two year,DSL,Yes,0
12,75.49,884.36,1,0,One year,DSL,No,0
31,63.53,1859.54,3,0,One year,None,Yes,0
44,106.96,4608.2,2,0,Two year,DSL,Yes,0
17,47.48,1049.42,1,1,Month-to-month,Fiber,Yes,1
25,55.32,1407.88,3,0,One year,Fiber,Yes,0
27,70.27,2020.02,0,0,Month-to-month,DSL,No,1
37,91.97,3488.56,2,5,One year,DSL,Yes,1
27,32.57,977.6,0,0,Month-to-month,DSL,No,0
54,37.24,1991.19,1,0,Month-to-month,DSL,No,0
24,20.0,640.64,1,0,One year,Fiber,Yes,0
32,70.82,2350.82,1,1,Month-to-month,Fiber,Yes,1
28,42.04,1181.32,1,0,Month-to-month,DSL,No,0
14,60.39,871.74,2,1,Month-to-month,Fiber,No,1
50,86.53,4313.05,0,0,Two year,Fiber,Yes,0
17,53.96,922.57,2,0,Month-to-month,DSL,No,0
22,75.78,1662.85,0,1,Month-to-month,Fiber,Yes,1
58,62.52,3664.11,0,0,Two year,DSL,Yes,0
69,86.8,6163.39,3,0,Two year,Fiber,Yes,1
49,81.88,3891.51,2,1,Month-to-month,DSL,No,1
66,52.7,3592.54,0,0,Month-to-month,Fiber,Yes,1
62,65.78,4041.77,2,2,Month-to-month,None,Yes,0
35,96.09,3490.24,2,0,Two year,DSL,Yes,1
56,79.83,4437.38,1,0,Month-to-month,None,Yes,0
24,35.08,883.1,2,1,Month-to-month,DSL,Yes,1
34,86.39,2921.39,0,3,Month-to-month,DSL,No,1
39,42.88,1499.45,3,3,One year,DSL,Yes,0
70,105.31,7545.8,6,3,Month-to-month,Fiber,No,1
62,95.6,5833.08,1,1,One year,Fiber,No,0
36,77.25,2789.29,2,2,Month-to-month,None,No,1
47,73.93,3369.51,0,0,One year,Fiber,No,0
15,64.77,837.91,5,0,Two year,Fiber,Yes,1
58,86.96,5023.37,1,2,Month-to-month,Fiber,Yes,1
40,60.73,2369.87,1,0,Month-to-month,None,Yes,0
39,75.89,2842.8,3,2,Month-to-month,Fiber,Yes,1
56,91.8,5137.16,1,0,One year,Fiber,Yes,0
46,55.95,2425.73,1,0,Month-to-month,Fiber,No,0
6,54.6,340.12,2,0,One year,DSL,No,0
21,40.14,830.23,1,1,Month-to-month,None,Yes,0
13,43.39,316.01,0,1,One year,None,No,0
53,24.29,1235.07,0,0,One year,Fiber,Yes,0
3,88.25,311.58,3,0,Month-to-month,DSL,Yes,1
15,115.22,1621.99,2,0,Month-to-month,DSL,Yes,0
44,105.63,4699.04,1,0,One year,None,Yes,1
51,29.35,1540.01,2,1,Month-to-month,Fiber,Yes,0
37,88.12,3158.72,1,1,One year,Fiber,Yes,1
62,105.55,6543.04,1,0,Two year,None,Yes,0
67,58.58,4007.34,2,0,Month-to-month,Fiber,Yes,0
10,72.54,637.72,0,1,Month-to-month,Fiber,No,1
69,20.0,1359.42,1,1,Month-to-month,DSL,Yes,0
45,76.67,3565.1,1,2,Month-to-month,DSL,No,0
46,43.41,1911.14,1,0,Two year,Fiber,Yes,0
7,74.99,570.85,2,0,Two year,DSL,Yes,1
45,30.97,1285.73,1,0,Month-to-month,Fiber,Yes,0
53,83.57,4413.19,1,1,Two year,Fiber,No,0
42,95.61,4060.41,2,1,Month-to-month,DSL,Yes,0
7,50.42,112.49,6,0,Two year,Fiber,Yes,0
38,41.58,1526.49,2,1,Two year,DSL,No,0
68,20.0,1402.93,1,1,Month-to-month,Fiber,No,0
53,63.34,3379.59,1,0,One year,DSL,No,0
10,55.46,502.36,1,0,One year,Fiber,No,1
70,31.22,2075.26,0,2,Month-to-month,Fiber,Yes,0
70,81.33,5755.63,4,0,Month-to-month,Fiber,No,0
13,58.75,731.52,2,1,One year,DSL,Yes,0
58,43.11,2554.72,1,2,Month-to-month,DSL,No,0
30,56.14,1722.09,2,0,Month-to-month,Fiber,Yes,0
43,96.78,4116.91,2,2,Month-to-month,DSL,Yes,0
33,85.07,2914.68,1,1,One year,DSL,Yes,0
57,66.75,3745.29,0,1,Month-to-month,Fiber,No,0
72,85.48,6273.43,1,1,Month-to-month,DSL,Yes,1
58,40.98,2508.81,0,0,Month-to-month,DSL,No,0
68,70.81,4920.04,1,1,Month-to-month,DSL,Yes,0
69,73.68,5066.07,2,1,One year,Fiber,Yes,0
7,58.25,662.49,1,1,Month-to-month,Fiber,Yes,1
19,80.89,1552.03,1,0,One year,Fiber,Yes,0
52,50.49,2649.54,1,1,Month-to-month,Fiber,No,0
43,82.75,3555.85,1,0,One year,Fiber,No,0
4,83.8,222.21,0,0,Month-to-month,Fiber,No,1
7,20.0,269.51,3,1,Two year,DSL,Yes,0
38,99.76,3733.55,0,2,Month-to-month,Fiber,Yes,1
45,20.0,991.96,1,0,Two year,DSL,No,0
13,54.6,825.74,3,0,Month-to-month,Fiber,No,1
13,95.63,1303.57,2,0,Month-to-month,Fiber,No,0
10,62.07,551.48,1,1,One year,Fiber,Yes,1
41,33.35,1333.05,2,0,Month-to-month,Fiber,No,0
1,42.66,0.0,2,0,Month-to-month,None,Yes,0
42,95.67,4006.6,1,0,Two year,Fiber,No,1
35,21.96,848.95,1,0,One year,Fiber,No,0
34,98.22,3315.89,2,1,One year,Fiber,No,1
49,68.62,3303.49,0,0,Two year,Fiber,Yes,0
38,40.19,1497.45,2,0,Month-to-month,Fiber,No,0
53,55.42,3058.91,0,0,Month-to-month,DSL,Yes,0
56,44.57,2490.45,2,0,Two year,DSL,Yes,0
67,91.66,6326.72,0,0,Month-to-month,Fiber,No,1
58,88.31,5064.95,1,0,Month-to-month,DSL,Yes,1
38,27.02,1048.52,0,0,Month-to-month,DSL,Yes,0
36,59.91,2113.43,0,1,Month-to-month,DSL,No,0
17,48.42,1030.59,2,0,Month-to-month,None,No,1
44,102.34,4520.83,2,1,Month-to-month,Fiber,Yes,0
11,36.25,611.53,2,2,One year,Fiber,Yes,1
68,110.11,7445.18,4,0,One year,None,No,0
61,69.17,4371.98,2,1,Two year,Fiber,Yes,0
9,40.95,380.37,1,0,Month-to-month,Fiber,Yes,1
57,53.07,3108.55,1,1,Month-to-month,Fiber,Yes,1
9,49.96,327.66,3,3,One year,Fiber,No,0
52,38.13,2017.84,1,1,Month-to-month,Fiber,Yes,1
7,72.37,399.68,3,4,Month-to-month,None,Yes,1
36,39.3,1440.59,1,0,One year,DSL,No,1
48,20.0,808.16,1,1,One year,DSL,No,1
53,60.51,3197.52,2,0,Month-to-month,Fiber,Yes,1
31,24.93,882.35,2,0,One year,Fiber,No,1
67,51.2,3484.89,2,1,One year,Fiber,No,0
56,47.27,2523.86,0,0,Two year,DSL,Yes,0
15,48.22,533.46,2,0,Month-to-month,Fiber,Yes,1
49,120.02,5930.87,0,0,One year,Fiber,Yes,0
53,71.41,3942.87,0,0,One year,None,No,0
25,76.13,1806.96,1,0,Month-to-month,Fiber,No,0
54,25.59,1591.6,0,1,One year,None,Yes,0
65,53.65,3486.66,2,0,One year,Fiber,No,0
59,75.38,4251.7,0,0,Month-to-month,Fiber,No,0
55,44.39,2285.18,5,1,Month-to-month,Fiber,Yes,0
46,92.7,4341.27,2,0,Month-to-month,Fiber,No,0
20,39.93,811.61,2,0,One year,Fiber,No,0
58,62.84,3792.99,2,1,Month-to-month,DSL,No,1
27,55.35,1374.6,2,4,Month-to-month,Fiber,No,0
39,74.11,2902.06,3,0,Month-to-month,Fiber,Yes,0
23,53.99,1242.39,2,0,One year,DSL,No,0
23,63.23,1439.93,0,0,One year,Fiber,Yes,0
12,64.1,730.9,4,0,Month-to-month,DSL,No,0
70,51.64,3578.55,2,1,Month-to-month,DSL,No,0
11,82.13,920.87,0,0,Month-to-month,Fiber,No,0
7,75.96,561.98,1,1,Month-to-month,DSL,No,1
68,67.78,4634.61,2,0,One year,None,No,0
40,59.24,2490.14,2,0,Month-to-month,None,Yes,1
32,89.91,2757.11,0,1,One year,Fiber,Yes,1
54,64.1,3280.46,1,1,One year,Fiber,Yes,1
28,62.33,1847.01,2,0,Two year,DSL,No,1
10,72.62,631.82,3,1,Month-to-month,Fiber,Yes,1
53,112.41,5920.03,1,0,Month-to-month,DSL,Yes,1
13,36.49,413.17,0,0,Month-to-month,None,Yes,1
40,89.25,3506.51,1,0,Two year,None,Yes,0
69,22.67,1418.45,0,1,One year,DSL,Yes,0
68,75.43,5072.41,1,2,One year,Fiber,No,0
26,109.38,2908.74,1,0,One year,Fiber,No,1
57,82.22,4685.96,1,1,Month-to-month,Fiber,Yes,0
45,74.27,3392.4,3,1,One year,DSL,No,1
35,55.99,1910.0,1,2,Two year,Fiber,Yes,0
11,70.78,868.82,0,2,Month-to-month,DSL,Yes,0
28,63.7,1732.72,1,0,Two year,Fiber,Yes,0
47,50.35,2155.62,3,0,Two year,Fiber,No,1
72,62.75,4549.89,1,0,Two year,Fiber,Yes,0
1,74.96,151.7,2,1,Two year,None,Yes,0
52,50.82,2586.69,2,0,Month-to-month,Fiber,Yes,1
61,49.84,3160.34,1,1,One year,Fiber,Yes,0
69,35.99,2398.51,0,1,Month-to-month,Fiber,Yes,0
31,79.77,2539.88,1,1,One year,Fiber,Yes,0
9,83.63,927.18,5,1,Month-to-month,DSL,No,1
20,75.79,1519.5,3,0,Two year,None,Yes,0
62,94.13,5813.37,2,0,Month-to-month,DSL,Yes,1
64,72.2,4610.02,2,0,Month-to-month,Fiber,Yes,1
46,79.8,3833.64,2,1,Month-to-month,Fiber,Yes,0
9,77.6,738.64,0,0,One year,Fiber,No,0
9,67.71,823.82,0,0,Month-to-month,Fiber,Yes,1
35,56.73,2013.46,3,1,Month-to-month,DSL,Yes,0
43,125.35,5324.83,3,0,Month-to-month,DSL,No,0
3,58.7,117.75,0,3,Month-to-month,Fiber,No,1
50,53.35,2673.81,2,0,Two year,Fiber,Yes,0
40,80.85,3029.88,1,2,Month-to-month,None,Yes,0
1,76.3,28.8,0,0,Month-to-month,Fiber,No,0
7,34.88,198.88,2,0,Month-to-month,DSL,No,1
33,98.07,3260.19,2,1,Month-to-month,DSL,No,1
53,67.65,3779.37,4,1,Month-to-month,Fiber,Yes,1
60,42.23,2539.09,0,1,Month-to-month,Fiber,No,0
32,99.72,2998.76,0,0,Month-to-month,DSL,Yes,0
22,85.64,1792.73,2,0,Month-to-month,Fiber,Yes,1
70,38.39,2713.28,0,2,Month-to-month,None,No,0
34,114.43,3899.9,1,2,One year,Fiber,No,0
23,86.47,2151.25,0,3,Month-to-month,Fiber,Yes,1
32,69.75,2327.85,4,1,One year,DSL,Yes,1
1,109.76,202.77,2,0,One year,Fiber,No,0
22,73.98,1605.9,3,2,Two year,DSL,Yes,0
38,69.3,2743.23,4,0,Month-to-month,Fiber,Yes,1
67,53.49,3494.4,4,1,One year,DSL,Yes,1
54,84.55,4662.33,0,0,Two year,DSL,Yes,0
57,81.92,4640.92,0,2,Two year,DSL,No,0
40,70.37,2669.88,3,1,Two year,DSL,Yes,0
8,50.25,461.33,2,0,Month-to-month,Fiber,Yes,1
29,73.25,2263.95,0,2,Two year,DSL,No,0
72,68.26,4873.7,1,0,Two year,None,Yes,0
4,36.66,302.93,1,0,Month-to-month,Fiber,Yes,1
64,33.2,1959.51,0,0,Month-to-month,DSL,Yes,1
50,84.13,4086.76,0,0,Two year,Fiber,No,0
21,20.0,405.33,4,0,Month-to-month,DSL,No,1
57,75.14,4245.63,1,1,One year,Fiber,No,0
61,58.05,3474.21,2,1,Month-to-month,DSL,Yes,0
4,102.71,424.19,1,2,One year,Fiber,No,0
8,57.66,408.45,1,0,Month-to-month,DSL,Yes,0
48,86.49,4115.48,0,1,One year,DSL,Yes,0
72,60.08,4353.4,3,0,Month-to-month,DSL,Yes,1
2,72.84,78.93,4,0,Two year,Fiber,Yes,0
48,88.42,4233.6,4,1,Month-to-month,Fiber,Yes,1
10,58.44,519.81,2,1,Month-to-month,None,Yes,1
47,94.91,4340.39,0,1,Month-to-month,Fiber,No,1
45,45.16,2108.46,4,2,Month-to-month,DSL,No,1
7,77.36,712.33,1,0,Two year,Fiber,Yes,0
50,93.07,4759.76,3,2,Month-to-month,Fiber,No,0
65,86.5,5655.73,3,0,Month-to-month,Fiber,No,1
63,117.91,7364.25,2,0,Two year,Fiber,Yes,1
3,50.91,124.05,3,0,Month-to-month,Fiber,No,1
18,35.52,745.08,1,0,Month-to-month,DSL,No,0
18,45.14,584.4,1,0,One year,None,Yes,0
33,86.51,2818.54,3,0,Month-to-month,DSL,Yes,1
11,82.45,980.34,1,3,Two year,Fiber,Yes,0
62,72.56,4384.67,1,1,One year,DSL,No,1
56,41.93,2390.2,3,1,Month-to-month,Fiber,Yes,1
59,89.17,5298.83,1,2,One year,Fiber,Yes,0
15,39.38,445.3,1,0,Two year,Fiber,Yes,0
2,98.97,206.65,2,1,Month-to-month,Fiber,Yes,1
66,130.0,8518.26,0,0,One year,Fiber,Yes,0
21,79.16,1704.0,1,0,Month-to-month,Fiber,No,1
48,84.58,4126.71,1,0,Month-to-month,Fiber,Yes,1
66,57.68,3846.68,3,1,One year,Fiber,No,0
3,24.74,81.49,0,0,Month-to-month,DSL,Yes,0
1,54.93,83.82,3,2,Month-to-month,Fiber,Yes,1
1,42.68,0.0,1,1,Month-to-month,Fiber,Yes,0
12,33.82,402.82,3,1,One year,Fiber,Yes,1
4,113.06,372.59,1,1,One year,DSL,No,1
60,76.82,4712.45,0,1,Month-to-month,Fiber,No,1
44,79.49,3565.98,3,1,Month-to-month,Fiber,Yes,0
71,62.27,4489.53,2,0,Two year,Fiber,No,0
58,65.68,3980.69,0,2,Month-to-month,Fiber,No,0
70,94.11,6554.97,1,0,Month-to-month,DSL,Yes,0
18,69.19,1190.55,0,0,Month-to-month,Fiber,Yes,1
21,83.27,1713.25,0,1,One year,Fiber,No,0
62,65.1,3875.97,0,0,Month-to-month,Fiber,No,0
18,61.45,953.67,2,1,Two year,Fiber,Yes,1
5,34.83,236.25,1,0,One year,DSL,Yes,0
49,20.56,867.74,1,1,Month-to-month,Fiber,Yes,0
58,63.46,3573.24,3,2,One year,DSL,Yes,1
70,71.41,4988.7,1,2,Month-to-month,Fiber,Yes,0
67,37.85,2494.51,1,1,Month-to-month,Fiber,Yes,0
9,69.14,710.81,4,0,One year,DSL,Yes,0
56,71.34,4001.3,1,1,Month-to-month,Fiber,Yes,0
61,20.0,1140.15,2,0,Two year,Fiber,Yes,0
51,47.12,2500.38,1,1,One year,Fiber,Yes,0
60,80.18,4883.77,0,3,Month-to-month,DSL,Yes,1
61,79.68,4719.17,3,0,Two year,Fiber,No,0
33,41.16,1383.44,1,1,Month-to-month,Fiber,No,1
3,73.96,150.38,0,1,Month-to-month,Fiber,Yes,1
33,95.56,3079.34,1,0,Month-to-month,Fiber,No,0
15,89.43,1528.35,1,0,Two year,Fiber,No,0
9,67.62,620.99,1,1,Month-to-month,None,Yes,1
9,58.3,502.95,3,2,Month-to-month,DSL,No,1
51,54.27,2776.08,1,1,Month-to-month,DSL,Yes,0
37,81.7,3110.16,2,0,Month-to-month,Fiber,Yes,1
39,74.88,2850.07,0,2,Month-to-month,Fiber,No,0
54,85.74,4576.61,3,2,One year,Fiber,Yes,1
40,73.3,2997.54,2,0,Two year,DSL,Yes,0
46,90.47,4009.94,1,0,One year,DSL,Yes,0
7,72.36,605.63,1,0,Month-to-month,Fiber,Yes,0
62,89.62,5395.75,2,1,Month-to-month,DSL,Yes,0
33,91.77,3003.85,2,0,Month-to-month,Fiber,Yes,0
12,49.89,438.76,1,3,Month-to-month,Fiber,No,1
59,24.8,1357.36,1,2,One year,DSL,Yes,0
53,108.59,5884.89,2,0,Month-to-month,Fiber,No,0
4,76.42,410.11,1,0,Two year,Fiber,Yes,1
14,27.14,495.06,1,1,Month-to-month,Fiber,Yes,0
2,52.15,0.0,2,1,One year,DSL,No,1
20,89.3,1680.83,0,0,Two year,Fiber,Yes,0
8,63.01,538.05,1,0,One year,None,Yes,1
52,57.2,3045.85,0,3,Two year,Fiber,No,0
38,105.02,3910.89,0,0,Two year,DSL,Yes,0
71,43.82,3053.17,1,0,One year,DSL,Yes,0
54,50.05,2589.36,1,0,Month-to-month,Fiber,No,1
45,75.28,3553.63,1,0,Month-to-month,Fiber,Yes,0
37,79.76,2903.68,2,2,Two year,None,No,0
4,82.41,332.76,0,0,Month-to-month,None,Yes,1
6,92.78,565.05,3,0,Two year,DSL,Yes,0
45,74.96,3483.96,2,1,Month-to-month,Fiber,Yes,1
1,82.23,0.0,2,0,One year,DSL,No,1
4,63.52,370.91,2,1,Month-to-month,DSL,Yes,1
16,71.57,1017.21,1,0,Two year,DSL,No,0
64,72.69,4768.63,2,1,Month-to-month,None,No,0
34,75.38,2391.3,0,0,Month-to-month,DSL,Yes,0
52,89.31,4633.85,4,1,Two year,Fiber,Yes,0
30,83.88,2678.9,4,0,Month-to-month,Fiber,Yes,1
13,71.11,994.1,0,0,Month-to-month,DSL,No,0
27,49.77,1385.96,1,0,Two year,Fiber,Yes,0
7,71.69,397.0,0,1,Two year,DSL,No,0
56,69.3,3807.29,3,2,Month-to-month,Fiber,Yes,1
14,74.83,1182.05,3,0,One year,Fiber,No,0
28,125.16,3551.8,1,0,Month-to-month,Fiber,No,1
71,56.91,4129.33,0,0,Month-to-month,Fiber,Yes,0
43,80.56,3471.34,0,0,One year,Fiber,Yes,1
34,96.71,3260.02,5,1,Month-to-month,Fiber,Yes,1
40,72.45,2974.67,3,1,Month-to-month,DSL,Yes,1
57,128.45,7347.36,0,1,Month-to-month,Fiber,No,1
19,60.55,1133.44,1,0,Two year,None,Yes,0
46,78.1,3451.3,1,1,One year,DSL,Yes,0
63,50.03,3247.27,0,2,Month-to-month,DSL,No,0
42,61.21,2614.9,0,0,Two year,None,No,0
33,76.22,2454.74,4,0,Two year,None,Yes,0
11,91.16,1120.66,1,1,Month-to-month,DSL,No,1
18,77.98,1427.97,0,4,Two year,Fiber,Yes,1
69,101.48,7028.31,3,0,Month-to-month,Fiber,Yes,0
39,67.63,2725.8,1,0,Month-to-month,Fiber,Yes,1
22,61.7,1424.18,1,1,Month-to-month,Fiber,Yes,1
31,130.0,4059.37,2,0,Month-to-month,None,Yes,1
42,79.86,3335.09,1,1,One year,DSL,Yes,0
39,52.01,2226.87,0,0,One year,Fiber,Yes,0
51,52.64,2611.43,0,1,Two year,DSL,No,0
19,46.43,956.82,4,1,Month-to-month,Fiber,Yes,1
47,93.41,4382.08,0,1,Month-to-month,Fiber,No,1
32,60.89,1993.97,1,1,Month-to-month,Fiber,No,0
68,73.18,5099.86,2,1,Month-to-month,None,Yes,1
12,68.41,789.79,1,2,Two year,Fiber,Yes,0
11,88.29,1031.34,1,0,One year,Fiber,Yes,1
34,48.83,1686.82,0,0,One year,DSL,Yes,1
